Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness,Temperature,Good Taste,Good Quantity,churn_risk
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,12.9261,77.6221,560034,Food delivery apps,Direct call,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Very Important,Moderately Important,Important,Moderately Important,Very Important,Very Important,Important,Moderately Important,0
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Maybe,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Disagree,Agree,Yes,Moderately Important,Very Important,Unimportant,Important,Very Important,Important,Very Important,Very Important,0
23,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Neutral,Disagree,Neutral,Disagree,Neutral,Yes,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Unimportant,Slightly Important,Slightly Important,0
23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Food delivery apps,Direct call,Lunch,Snacks,Veg foods (Breakfast / Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Important,Important,Important,Important,0
23,Female,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Important,Important,Unimportant,Important,Very Important,Very Important,Very Important,Very Important,0
24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Agree,Agree,Agree,Agree,Yes,Slightly Important,Important,Important,Important,Very Important,Important,Very Important,Important,0
25,Male,Single,Student,No Income,Post Graduate,2,12.9635,77.5821,560002,Walk-in,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,0
22,Male,Single,Student,No Income,Post Graduate,3,12.9306,77.5434,560085,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Sweets,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Neutral,Neutral,Agree,Yes,Important,Important,Important,Important,Important,Important,Important,Important,0
28,Female,Married,Student,No Income,Graduate,2,13.0067,77.545,560086,Food delivery apps,Direct call,Lunch,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Yes,Very Important,Very Important,Moderately Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,0
22,Female,Single,Student,No Income,Post Graduate,1,12.8845,77.6036,560076,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Maybe,Anytime (Mon-Sun),60 minutes,Agree,Agree,Strongly Agree,Neutral,Neutral,Yes,Very Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,0
24,Female,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Food delivery apps,Direct call,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Bakery items (snacks),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),60 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Slightly Important,Moderately Important,Unimportant,Slightly Important,Very Important,Very Important,Important,Very Important,0
31,Male,Married,Employee,More than 50000,Ph.D,5,12.9119,77.6446,560102,Walk-in,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Disagree,Agree,Agree,Maybe,Important,Important,Moderately Important,Important,Important,Important,Important,Important,0
25,Male,Single,Student,No Income,Post Graduate,4,13.0067,77.545,560086,Food delivery apps,Walk-in,Snacks,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,0
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Maybe,Weekend (Sat & Sun),60 minutes,Agree,Agree,Agree,Disagree,Strongly Agree,Maybe,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
22,Male,Single,Student,No Income,Post Graduate,3,12.8845,77.6036,560076,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Agree,Neutral,Agree,Neutral,No,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,0
23,Male,Single,Student,25001 to 50000,Post Graduate,1,13.0158,77.539,560096,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,No,Weekend (Sat & Sun),60 minutes,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Yes,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
23,Male,Single,Student,No Income,Graduate,4,12.9343,77.6044,560029,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Yes,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
23,Female,Single,Student,No Income,Post Graduate,2,13.0019,77.5713,560003,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),45 minutes,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly Agree,Yes,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,0
25,Male,Single,Student,No Income,Post Graduate,6,13.0012,77.5995,560046,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),60 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Important,Important,Important,Important,Important,Important,0
24,Male,Single,Employee,10001 to 25000,Graduate,4,12.9442,77.6076,560030,Food delivery apps,Web browser,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Bakery items (snacks),Neutral,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Yes,Slightly Important,Important,Important,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,0
23,Female,Single,Student,No Income,Post Graduate,4,13.0487,77.5923,560024,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,0
24,Female,Married,Employee,More than 50000,Ph.D,4,12.9438,77.5738,560004,Food delivery apps,Direct call,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Agree,Strongly disagree,Agree,Yes,Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Important,0
22,Male,Single,Student,No Income,Graduate,4,12.9889,77.5741,560020,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Sweets,Disagree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Unimportant,Slightly Important,Very Important,Moderately Important,Very Important,Important,0
24,Female,Single,Student,10001 to 25000,Post Graduate,3,12.9335,77.5691,560028,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Sweets,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1
25,Female,Single,Student,No Income,Post Graduate,3,12.9766,77.5993,560001,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,No,Weekend (Sat & Sun),45 minutes,Neutral,Disagree,Neutral,Disagree,Neutral,No,Moderately Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,0
23,Male,Single,Student,No Income,Post Graduate,2,12.8845,77.6036,560076,Food delivery apps,Direct call,Breakfast,Lunch,Veg foods (Breakfast / Lunch / Dinner),Bakery items (snacks),Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,No,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Very Important,0
26,Male,Single,Student,No Income,Post Graduate,4,13.0019,77.5713,560003,Walk-in,Direct call,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Strongly Agree,Agree,Neutral,No,Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
24,Female,Single,Student,25001 to 50000,Post Graduate,3,13.102,77.5864,560064,Walk-in,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,0
26,Male,Single,Student,No Income,Post Graduate,4,12.9048,77.6821,560036,Food delivery apps,Direct call,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Agree,Neutral,Strongly Agree,Yes,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Very Important,0
22,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Food delivery apps,Direct call,Snacks,Dinner,Veg foods (Breakfast / Lunch / Dinner),Bakery items (snacks),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Anytime (Mon-Sun),More than 60 minutes,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Unimportant,Slightly Important,Unimportant,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,0
24,Male,Single,Student,10001 to 25000,Post Graduate,4,12.9037,77.5376,560061,Food delivery apps,Walk-in,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly disagree,Strongly Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,0
23,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Very Important,Unimportant,Moderately Important,Important,Very Important,Very Important,Important,0
23,Male,Single,Student,No Income,Post Graduate,3,12.9343,77.6044,560029,Food delivery apps,Direct call,Lunch,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Maybe,Very Important,Very Important,Slightly Important,Very Important,Very Important,Important,Very Important,Very Important,0
22,Male,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Food delivery apps,Direct call,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Yes,Weekend (Sat & Sun),60 minutes,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Important,Very Important,Unimportant,Moderately Important,Very Important,Moderately Important,Important,Very Important,0
23,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Direct call,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,Disagree,Disagree,Yes,Important,Very Important,Moderately Important,Moderately Important,Important,Very Important,Very Important,Very Important,0
24,Female,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Very Important,Very Important,Slightly Important,Important,Very Important,Important,Very Important,Very Important,0
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,0
28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,13.0289,77.54,560022,Food delivery apps,Direct call,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,No,Anytime (Mon-Sun),60 minutes,Agree,Neutral,Neutral,Disagree,Neutral,No,Important,Moderately Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Slightly Important,1
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,13.0289,77.54,560022,Food delivery apps,Web browser,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Bakery items (snacks),Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,No,Weekdays (Mon-Fri),45 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,No,Slightly Important,Very Important,Slightly Important,Important,Slightly Important,Very Important,Important,Important,1
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,12.9698,77.75,560066,Food delivery apps,Web browser,Lunch,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly disagree,Yes,Weekend (Sat & Sun),More than 60 minutes,Agree,Agree,Neutral,Neutral,Disagree,Yes,Moderately Important,Important,Important,Important,Important,Very Important,Important,Slightly Important,1
22,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Very Important,Important,Moderately Important,Important,Important,Moderately Important,0
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,0
23,Male,Single,Student,No Income,Post Graduate,1,12.9561,77.5921,560027,Walk-in,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Disagree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Important,Moderately Important,Important,Important,0
26,Male,Married,Employee,25001 to 50000,Graduate,5,12.9579,77.6309,560007,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,No,Weekend (Sat & Sun),60 minutes,Agree,Agree,Neutral,Agree,Agree,No,Important,Important,Moderately Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,1
