feature,importance,feature_clean
cat__Missing item_Agree,0.0016017449507223912,Missing item_Agree
cat__More restaurant choices_Neutral,0.001600026082022736,More restaurant choices_Neutral
cat__Google Maps Accuracy_Strongly Agree,0.0015801699715302497,Google Maps Accuracy_Strongly Agree
cat__Low quantity low time_Strongly disagree,0.001577382011512195,Low quantity low time_Strongly disagree
cat__Monthly Income_25001 to 50000,0.001558304114481526,Monthly Income_25001 to 50000
cat__Order Time_Weekend (Sat & Sun),0.001486918967512777,Order Time_Weekend (Sat & Sun)
cat__Delivery person ability_Disagree,0.0014615658194307045,Delivery person ability_Disagree
cat__Medium (P1)_Walk-in,0.0014502223395995925,Medium (P1)_Walk-in
cat__Google Maps Accuracy_Disagree,0.0014133781336099804,Google Maps Accuracy_Disagree
cat__Good Road Condition_Neutral,0.0014064324149207189,Good Road Condition_Neutral
cat__Poor Hygiene_Neutral,0.0013960060480462733,Poor Hygiene_Neutral
cat__Perference(P1)_Veg foods (Breakfast / Lunch / Dinner),0.0013261953019746426,Perference(P1)_Veg foods (Breakfast / Lunch / Dinner)
cat__Freshness_Slightly Important,0.0012972914836112603,Freshness_Slightly Important
cat__Meal(P1)_Dinner,0.0012579849059439912,Meal(P1)_Dinner
cat__Temperature_Very Important,0.0012373341640209757,Temperature_Very Important
cat__Meal(P2)_Snacks,0.0012010985224875997,Meal(P2)_Snacks
cat__Delivery person ability_Strongly Agree,0.0011833274597623056,Delivery person ability_Strongly Agree
cat__Temperature_Moderately Important,0.001144996308768645,Temperature_Moderately Important
cat__Bad past experience_Strongly disagree,0.001144917327050621,Bad past experience_Strongly disagree
cat__Meal(P1)_Breakfast,0.0011447305056892468,Meal(P1)_Breakfast
cat__Meal(P2)_Dinner,0.0011187945739565698,Meal(P2)_Dinner
cat__Perference(P1)_Non Veg foods (Lunch / Dinner),0.0011076861490104,Perference(P1)_Non Veg foods (Lunch / Dinner)
cat__Unavailability_Strongly agree,0.0010873545445028807,Unavailability_Strongly agree
cat__Meal(P2)_Lunch,0.0010518633566047376,Meal(P2)_Lunch
cat__Low quantity low time_Neutral,0.001038942890438049,Low quantity low time_Neutral
cat__Unavailability_Neutral,0.001005498387886573,Unavailability_Neutral
cat__Good Quantity_Moderately Important,0.0009882675372865225,Good Quantity_Moderately Important
cat__Medium (P2)_Walk-in,0.0009868019658854626,Medium (P2)_Walk-in
cat__Order placed by mistake_Neutral,0.0009698966696209294,Order placed by mistake_Neutral
cat__Good Quantity_Slightly Important,0.0009612472016454824,Good Quantity_Slightly Important
cat__Poor Hygiene_Strongly agree,0.0009435135649889107,Poor Hygiene_Strongly agree
cat__Health Concern_Strongly agree,0.0009102891608070162,Health Concern_Strongly agree
cat__Maximum wait time_60 minutes,0.0009057198050336103,Maximum wait time_60 minutes
cat__Medium (P1)_Food delivery apps,0.0008959786762370589,Medium (P1)_Food delivery apps
cat__Residence in busy location_Neutral,0.0008592777580390888,Residence in busy location_Neutral
cat__Good Food quality_Strongly agree,0.0008518641231152807,Good Food quality_Strongly agree
cat__Missing item_Strongly disagree,0.0008449963187679713,Missing item_Strongly disagree
cat__Long delivery time_Strongly agree,0.0008206109386651359,Long delivery time_Strongly agree
cat__Influence of rating_No,0.0008059525135019275,Influence of rating_No
cat__Wrong order delivered_Strongly agree,0.0007189491202759128,Wrong order delivered_Strongly agree
cat__Residence in busy location_Disagree,0.0007183329967108048,Residence in busy location_Disagree
cat__Time saving_Neutral,0.0007064806521897718,Time saving_Neutral
cat__Educational Qualifications_Ph.D,0.0006989328962308341,Educational Qualifications_Ph.D
cat__Google Maps Accuracy_Neutral,0.0006788813917625919,Google Maps Accuracy_Neutral
cat__Order placed by mistake_Agree,0.0006768762963278087,Order placed by mistake_Agree
